STATION,STATION_NAME,DATE,HPCP,ONGOING_FLOOD
COOP:135315,MCGREGOR IA US,19961022 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 18:00,0.2,0
COOP:135315,MCGREGOR IA US,19961022 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19961022 22:00,0.2,0
COOP:135315,MCGREGOR IA US,19961022 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 09:00,0.2,0
COOP:135315,MCGREGOR IA US,19961029 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 11:00,0.4,0
COOP:135315,MCGREGOR IA US,19961029 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19961029 17:00,0.1,0
COOP:135315,MCGREGOR IA US,19961101 01:00,0,0
COOP:135315,MCGREGOR IA US,19961104 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19961104 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19961106 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19961106 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19961115 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19961115 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19961116 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19961116 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19961116 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19961117 00:00,0.2,0
COOP:135315,MCGREGOR IA US,19961117 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19961120 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19961120 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19961121 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19961123 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19961123 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19961123 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19961124 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19961125 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19961129 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19961129 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19961129 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19961129 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19961130 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19961201 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19961203 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19961205 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19961205 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19961214 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19961214 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19961214 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19961214 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19961214 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19961219 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19961223 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19961223 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19961223 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19961225 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19961225 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19961226 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19961226 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970101 01:00,0,0
COOP:135315,MCGREGOR IA US,19970104 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19970104 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970104 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19970104 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970104 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19970105 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970109 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19970115 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970115 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19970120 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970124 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970124 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19970124 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970126 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970201 01:00,0,0
COOP:135315,MCGREGOR IA US,19970204 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19970204 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19970204 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19970204 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19970204 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19970210 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19970212 10:00,0.1,0
